Timestamp,v,i,p,q,h1_m,h1_p,h2_m,h2_p,h3_m,h3_p,h4_m,h4_p,h5_m,h5_p,h6_m,h6_p,h7_m,h7_p,h8_m,h8_p,h9_m,h9_p,h10_m,h10_p,h11_m,h11_p,h12_m,h12_p,h13_m,h13_p,h14_m,h14_p
2019-10-14 14:22:03,244.542,0.0,0.0,0.0,0.0,126.636,0.0,-139.733,0.001,63.04600000000001,0.0,137.988,0.001,-165.06599999999997,0.0,-119.81,0.001,7.477,0.0,172.22099999999998,0.001,140.657,0.0,51.425,0.001,-17.034000000000002,0.0,173.71099999999996,0.001,81.467,0.0,151.34
2019-10-14 14:22:06,244.431,0.0,0.0,0.0,0.0,126.766,0.0,-160.55700000000004,0.001,62.042,0.0,-35.688,0.001,-162.917,0.0,-77.628,0.001,6.4220000000000015,0.0,10.992,0.001,135.441,0.0,126.114,0.001,-12.255,0.0,119.406,0.001,100.909,0.0,-10.802
2019-10-14 14:22:09,244.694,0.0,0.0,0.0,0.0,130.387,0.0,-0.889,0.001,58.18899999999999,0.0,132.50799999999998,0.001,-160.89,0.0,-9.335,0.001,7.258999999999999,0.0,148.04399999999995,0.001,138.91899999999998,0.0,98.816,0.001,-17.527,0.0,176.878,0.001,97.053,0.0,-171.549
2019-10-14 14:22:12,244.677,0.0,0.0,0.0,0.0,128.06,0.0,-79.429,0.001,65.07600000000001,0.0,-7.007999999999999,0.001,-163.284,0.0,-35.598,0.001,4.768,0.0,66.732,0.001,135.594,0.0,121.851,0.001,-11.459,0.0,59.485,0.001,105.163,0.0,46.859
2019-10-14 14:22:15,244.51,0.0,0.0,0.0,0.0,126.298,0.0,-105.934,0.001,58.705,0.0,-73.742,0.001,-163.84400000000005,0.0,138.59799999999998,0.001,5.376,0.0,-154.134,0.001,133.74,0.0,-172.334,0.001,-16.862000000000002,0.0,25.677,0.001,92.453,0.0,17.108
2019-10-14 14:22:18,244.716,0.0,0.0,0.0,0.0,126.765,0.001,149.83100000000005,0.001,62.691,0.0,118.436,0.001,-163.284,0.0,-43.949,0.001,7.0539999999999985,0.0,-9.46,0.001,133.089,0.0,-75.422,0.001,-18.755,0.0,69.973,0.001,120.667,0.0,49.37
2019-10-14 14:22:21,244.392,1.04,71.0,-43.0,0.43,9.422,0.061,115.029,0.14800000000000002,163.78,0.022,133.39700000000002,0.041,-38.68,0.013,-161.572,0.018000000000000002,54.551,0.011,-92.356,0.017,140.987,0.012,-78.125,0.011,-39.179,0.008,-1.315,0.012,-144.42700000000005,0.011,35.92
2019-10-14 14:22:24,244.524,0.267,-1.0,-57.99999999999999,0.24,88.404,0.003,84.87,0.05,150.938,0.002,23.835,0.042,9.625,0.001,-41.223,0.038,112.878,0.001,48.111,0.048,-87.307,0.001,78.961,0.011,49.35,0.001,87.37,0.027000000000000003,-93.445,0.001,-5.103
2019-10-14 14:22:27,244.613,0.268,-1.0,-57.99999999999999,0.238,91.177,0.001,102.918,0.029,145.954,0.001,67.52,0.03,15.475,0.001,-109.719,0.034,109.874,0.001,16.37,0.046,-86.529,0.003,-124.884,0.013,37.89,0.006,-134.726,0.029,-95.083,0.008,170.005
2019-10-14 14:22:30,245.042,0.255,-1.0,-57.99999999999999,0.237,91.351,0.001,86.242,0.028,144.621,0.001,63.173,0.029,11.254,0.001,-23.943,0.034,106.737,0.001,-113.337,0.044,-88.962,0.003,-74.38,0.015,36.976,0.006999999999999999,-174.632,0.03,-97.637,0.009000000000000001,137.006
2019-10-14 14:22:33,244.979,0.256,0.0,-57.99999999999999,0.236,91.611,0.001,82.441,0.028,143.917,0.001,61.74100000000001,0.028,10.709,0.001,-118.641,0.035,106.426,0.001,-83.816,0.044,-92.014,0.001,-122.467,0.014,6.087999999999999,0.001,-146.75,0.036000000000000004,-101.542,0.001,145.162
2019-10-14 14:22:36,244.711,0.265,6.999999999999999,-57.0,0.233,86.381,0.001,108.463,0.04,145.98,0.001,59.15600000000001,0.033,-3.289,0.001,-138.938,0.043,102.113,0.001,-45.938,0.049,-96.232,0.001,-142.10399999999996,0.021,10.873,0.001,-127.88,0.033,-106.823,0.001,150.281
2019-10-14 14:22:39,244.584,0.265,6.999999999999999,-55.99999999999999,0.233,82.86200000000002,0.001,102.981,0.052000000000000005,146.539,0.001,55.524,0.039,-16.78,0.001,-143.77100000000004,0.051,101.382,0.001,-81.963,0.056,-96.882,0.001,-126.036,0.026,18.497,0.001,-133.464,0.035,-113.617,0.001,136.829
2019-10-14 14:22:42,244.74,0.274,6.0,-57.0,0.233,83.11399999999998,0.001,95.072,0.052000000000000005,146.385,0.001,64.655,0.04,-15.662,0.001,-118.927,0.051,101.344,0.001,-114.779,0.055,-95.34,0.003,-94.674,0.026,27.916,0.006,-134.79,0.03,-109.362,0.009000000000000001,126.839
2019-10-14 14:22:45,245.073,0.275,6.999999999999999,-57.0,0.232,83.581,0.001,166.767,0.05,144.863,0.002,60.273,0.039,-16.088,0.002,-144.572,0.052000000000000005,97.549,0.001,12.556,0.056,-100.243,0.001,-156.602,0.022,18.625,0.003,-12.879,0.031,-114.162,0.004,41.409
2019-10-14 14:22:48,245.014,0.263,4.0,-57.0,0.232,84.331,0.001,168.59900000000005,0.048,143.562,0.002,55.801,0.035,-14.876,0.001,-142.675,0.049,96.409,0.001,8.933,0.054000000000000006,-102.837,0.001,-154.368,0.019,7.563,0.002,153.132,0.032,-119.621,0.002,101.672
2019-10-14 14:22:51,244.832,0.255,-2.0,-57.0,0.231,89.603,0.001,98.112,0.031,140.997,0.001,54.911,0.027000000000000003,18.617,0.001,-129.12,0.033,98.641,0.001,-34.316,0.042,-97.178,0.001,-23.959,0.014,-15.774,0.001,150.513,0.027000000000000003,-105.656,0.001,90.384
2019-10-14 14:22:54,245.17,0.256,-2.0,-57.0,0.232,92.211,0.001,104.198,0.018000000000000002,137.653,0.001,56.32100000000001,0.025,36.559,0.001,-134.457,0.025,100.692,0.001,-9.655,0.035,-95.073,0.001,-12.116,0.009000000000000001,-38.109,0.001,114.592,0.027000000000000003,-98.681,0.002,79.84100000000002
2019-10-14 14:22:57,244.747,0.256,-2.0,-57.0,0.232,92.303,0.001,96.639,0.018000000000000002,136.967,0.001,61.055,0.025,36.711,0.001,-114.826,0.026,100.666,0.001,-23.792,0.035,-96.001,0.001,-9.953,0.01,-45.534,0.002,121.423,0.027000000000000003,-94.757,0.003,73.17699999999998
2019-10-14 14:23:00,244.786,0.258,-2.0,-57.0,0.232,92.182,0.001,91.762,0.018000000000000002,138.22299999999998,0.001,63.725,0.026,37.618,0.001,-9.577,0.027000000000000003,102.26,0.001,-136.346,0.034,-92.868,0.003,-19.684,0.01,-24.79,0.008,116.82,0.026,-92.478,0.012,105.632
2019-10-14 14:23:03,244.741,0.245,-2.0,-57.0,0.231,92.29,0.001,90.585,0.018000000000000002,138.44899999999998,0.001,64.937,0.024,39.54,0.001,-83.20100000000002,0.026,103.994,0.001,-119.014,0.034,-94.958,0.001,-101.535,0.014,-46.897,0.003,-141.5,0.034,-101.35,0.004,168.859
2019-10-14 14:23:06,244.766,0.248,-2.0,-57.0,0.231,92.317,0.001,84.91799999999998,0.018000000000000002,139.0,0.001,71.89699999999998,0.024,39.003,0.001,-78.56,0.026,103.453,0.001,-112.454,0.033,-94.904,0.001,-106.843,0.015,-48.269,0.001,-160.925,0.036000000000000004,-102.693,0.001,147.965
2019-10-14 14:23:09,245.142,0.25,-2.0,-57.0,0.231,92.282,0.001,87.105,0.018000000000000002,138.793,0.001,59.959,0.024,36.406,0.001,-97.744,0.026,103.542,0.001,-117.289,0.033,-95.49,0.001,-123.217,0.015,-48.19300000000001,0.001,-158.72799999999995,0.035,-105.225,0.001,143.166
2019-10-14 14:23:12,244.953,0.246,-2.0,-57.0,0.231,92.323,0.001,89.242,0.018000000000000002,139.533,0.001,61.777,0.024,36.732,0.001,-70.117,0.026,103.341,0.0,-116.897,0.033,-95.703,0.001,-122.448,0.015,-46.17,0.001,-170.245,0.034,-106.365,0.001,119.03
2019-10-14 14:23:15,244.797,0.247,-2.0,-57.0,0.231,92.365,0.001,90.439,0.018000000000000002,138.767,0.001,61.648,0.024,38.156,0.001,-158.928,0.026,102.994,0.001,-72.692,0.033,-95.212,0.001,-127.812,0.014,-42.148,0.001,-150.36,0.033,-102.771,0.001,129.826
2019-10-14 14:23:18,244.456,0.246,-2.0,-55.99999999999999,0.231,92.293,0.001,98.953,0.018000000000000002,138.72899999999998,0.001,62.218,0.024,36.357,0.001,-135.392,0.025,102.34,0.001,-124.721,0.033,-94.74,0.001,-115.631,0.014,-35.236,0.001,-151.95600000000005,0.03,-99.761,0.001,128.19299999999998
2019-10-14 14:23:21,245.046,0.246,-2.0,-57.0,0.231,92.25,0.001,91.005,0.018000000000000002,139.286,0.001,63.718,0.025,35.718,0.001,-143.691,0.025,101.811,0.001,-113.327,0.033,-94.179,0.001,-114.227,0.014,-27.616,0.001,-145.985,0.028,-97.864,0.001,155.702
2019-10-14 14:23:24,245.185,0.246,-2.0,-57.0,0.231,92.369,0.001,93.855,0.018000000000000002,138.86,0.001,68.245,0.025,35.97,0.0,-139.525,0.026,101.081,0.001,-98.335,0.033,-94.45,0.001,-117.871,0.014,-27.561,0.001,-147.22899999999996,0.028,-97.526,0.001,159.185
2019-10-14 14:23:27,245.137,0.244,-2.0,-57.0,0.231,92.399,0.001,88.178,0.018000000000000002,139.172,0.001,54.785,0.024,36.645,0.001,-79.69800000000002,0.025,101.681,0.001,-117.843,0.033,-95.191,0.001,-113.083,0.014,-28.766,0.001,-165.804,0.028,-98.665,0.001,-173.69400000000005
2019-10-14 14:23:30,245.77,0.245,-2.0,-57.0,0.232,92.324,0.001,90.232,0.019,138.933,0.001,60.23,0.024,35.071,0.001,-52.658,0.026,101.628,0.001,-109.027,0.033,-96.509,0.001,-104.453,0.014,-30.253,0.001,-167.21,0.028,-99.949,0.001,152.852
2019-10-14 14:23:33,245.626,0.256,-2.0,-57.0,0.233,92.398,0.001,92.75,0.019,138.41899999999998,0.001,73.783,0.024,33.964,0.001,-88.045,0.026,100.935,0.001,-126.058,0.033,-94.719,0.002,-46.164,0.011,-18.674,0.005,109.368,0.023,-92.991,0.006999999999999999,103.416
2019-10-14 14:23:36,245.375,0.254,-2.0,-57.0,0.232,92.306,0.001,85.93799999999997,0.018000000000000002,137.372,0.001,68.062,0.025,34.754,0.001,-77.29,0.026,97.818,0.001,71.419,0.034,-99.48,0.001,-13.543,0.009000000000000001,8.681000000000001,0.001,157.571,0.02,-91.079,0.001,72.135
2019-10-14 14:23:39,245.688,0.254,-2.0,-57.0,0.233,92.382,0.001,92.908,0.019,136.968,0.001,73.44,0.025,34.702,0.0,-62.101000000000006,0.026,97.476,0.0,48.584,0.034,-99.673,0.001,-33.194,0.009000000000000001,13.155,0.001,167.065,0.019,-91.21,0.001,1.306
2019-10-14 14:23:42,245.84,0.257,-3.0,-57.0,0.233,92.394,0.001,89.73700000000002,0.019,138.154,0.001,62.75899999999999,0.026,34.63,0.001,-50.192,0.025,99.984,0.001,-105.469,0.033,-93.885,0.002,-81.92200000000003,0.011,-7.782,0.006,-134.23,0.022,-91.332,0.009000000000000001,-161.36700000000005
2019-10-14 14:23:45,245.563,0.245,-2.0,-57.0,0.233,92.409,0.001,93.103,0.019,138.476,0.001,72.561,0.025,35.462,0.001,-29.894,0.025,101.085,0.001,-115.038,0.033,-94.271,0.002,-69.012,0.012,-12.578,0.005,-123.898,0.025,-87.35700000000001,0.008,177.09400000000005
