Timestamp,v,i,p,q,h1_m,h1_p,h2_m,h2_p,h3_m,h3_p,h4_m,h4_p,h5_m,h5_p,h6_m,h6_p,h7_m,h7_p,h8_m,h8_p,h9_m,h9_p,h10_m,h10_p,h11_m,h11_p,h12_m,h12_p,h13_m,h13_p,h14_m,h14_p
14/10/19 16:20,245.141,0,0,0,0,-51.023,0,-38.037,0.001,178.55,0,-179.147,0.001,28.974,0,-115.288,0.001,143.545,0,-46.749,0,41.63,0,142.119,0.001,116.065,0,-69.978,0,-3.086,0,-128.254
14/10/19 16:20,244.998,0,0,0,0,-53.466,0,18.769,0.001,-179.952,0,-41.249,0.001,24.821,0,-39.341,0.001,152.334,0,-84.319,0,33.363,0,-149.93,0,100.497,0,-99.455,0.001,-3.776,0,-86.298
14/10/19 16:20,245.195,0,0,0,0,-56.202,0,-114.464,0.001,173.807,0,-132.638,0.001,18.816,0,-156.762,0.001,140.022,0,152.462,0,34.619,0,-161.619,0,94.258,0,87.281,0,-11.377,0,40.883
14/10/19 16:20,245.113,0,0,0,0,-48.14,0,-23.438,0.001,177.703,0,61.921,0.001,27.206,0,35.21,0.001,142.794,0,-68.828,0,20.644,0,81.947,0,87.646,0,144.198,0,-17.158,0,-46.474
14/10/19 16:20,245.222,0,0,0,0,-49.096,0,-123.631,0.001,176.389,0,-170.519,0.001,18.73,0,-50.093,0.001,151.393,0,48.377,0.001,36.219,0,9.469,0,103.682,0,-0.481,0,8.231,0,171.172
14/10/19 16:20,245.024,7.27,1662,-72,1.144,2.462,0.106,-74.775,0.056,35.104,0.038,123.552,0.034,-92.616,0.022,-32.694,0.025,57.935,0.02,151.871,0.025,-149.598,0.017,-0.659,0.017,-154.157,0.014,21.13,0.02,158.275,0.01,-135.211
14/10/19 16:20,245.177,0,0,0,4.504,2.362,0.06,13.803,0.057,100.649,0.034,-86.918,0.104,-24.18,0.015,149.156,0.036,23.962,0.012,-0.357,0.051,176.022,0.012,-103.435,0.029,-173.853,0.008,139.851,0.043,-175.403,0.007,1.508
14/10/19 16:20,245.085,7.787,1907,-83,3.486,2.591,0.132,-133.944,0.034,85.563,0.048,123.866,0.081,-28.187,0.022,12.006,0.034,31.257,0.015,-116.672,0.042,-171.724,0.007,98.406,0.027,-173.357,0.005,16.449,0.034,177.028,0.003,49.062
14/10/19 16:20,245.295,7.788,1908,-83,7.786,2.505,0.003,104.06,0.057,83.719,0.002,-111.662,0.178,-28.421,0.001,101.365,0.06,22.906,0.002,-175.03,0.085,177.447,0.001,104.665,0.046,-169.548,0.001,113.808,0.07,-178.151,0.001,18.013
14/10/19 16:20,245.211,7.781,1906,-83,7.78,2.509,0.003,100.203,0.057,83.917,0.002,-110.864,0.177,-28.171,0.001,100.582,0.061,23.404,0.002,-177.95,0.085,177.327,0.001,109.024,0.047,-169.536,0.001,113.583,0.071,-177.992,0.001,13.081
14/10/19 16:20,245.468,7.786,1909,-84,7.778,2.509,0.003,98.822,0.057,84.423,0.002,-115.407,0.178,-27.898,0.001,91.336,0.061,24.287,0.001,-177.256,0.086,177.74,0.001,96.448,0.047,-169.346,0.001,114.701,0.071,-178.776,0.001,19.275
14/10/19 16:20,245.62,7.787,1911,-84,7.783,2.51,0.003,99.887,0.057,84.012,0.002,-114.511,0.176,-28.035,0.001,96.399,0.062,24.96,0.001,-171.073,0.086,177.115,0.001,96.414,0.046,-170.21,0.001,114.606,0.07,-178.291,0.001,9.997
14/10/19 16:20,245.495,7.78,1908,-84,7.781,2.511,0.003,102.863,0.057,82.998,0.002,-110.647,0.176,-28.257,0.001,91.532,0.061,26.339,0.001,-166.728,0.086,176.826,0.001,97.512,0.047,-169.811,0.001,112.984,0.071,-178.508,0.001,12.794
14/10/19 16:20,245.468,7.776,1907,-83,7.773,2.513,0.003,103.399,0.058,83.45,0.002,-114.391,0.176,-28.365,0.001,97.831,0.061,24.875,0.001,-171.524,0.086,176.884,0.001,101.17,0.048,-169.195,0.001,119.433,0.072,-178.034,0.001,12.73
14/10/19 16:20,245.457,7.773,1906,-83,7.771,2.514,0.003,105.498,0.059,84.729,0.002,-107.369,0.177,-28.358,0.001,87.666,0.061,24.12,0.001,-174.636,0.086,176.897,0.001,92.046,0.047,-168.46,0.001,110.23,0.071,-177.206,0.001,14.697
14/10/19 16:20,245.308,7.765,1903,-83,7.766,2.514,0.003,105.677,0.06,84.366,0.002,-110.6,0.177,-28.407,0.001,91.898,0.061,24.28,0.001,-169.265,0.086,176.73,0.001,97.238,0.047,-169.231,0.001,114.237,0.071,-177.668,0.001,5.007
14/10/19 16:20,245.173,7.758,1900,-83,7.759,2.516,0.003,104.958,0.059,84.926,0.002,-118.458,0.176,-28.403,0.001,94.053,0.06,24.361,0.001,-173.477,0.086,177.214,0.001,92.979,0.046,-168.779,0.001,112.954,0.071,-178.22,0.001,8.535
